no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,sales_point,price,page_count,review_count,average_rating,최다연령대_여성,최다연령대_남성,성비_여성,20~30대_남성,20~30대_여성,분류
1,1,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,9788936434120,3810.0,,813.62,문학 > 한국문학 > 소설,6300,"767,918","13,500",216.0,394.0,9.6,40.0,40.0,0.7,8.3,31.4,한국소설
7,7,채식주의자 :한강 장편소설 ,지은이: 한강,창비,2022,9788936434595,3810.0,,813.62,문학 > 한국문학 > 소설,4143,"455,714","15,300",276.0,67.0,8.3,40.0,50.0,0.7,9.6,26.9,한국소설
10,10,채식주의자:한강 연작소설,한강,창비,2007,9788936433598,3810.0,,813.6,문학 > 한국문학 > 소설,3692,"57,521","10,800",247.0,380.0,8.3,40.0,40.0,0.7,11.5,40.0,한국소설
29,29,대온실 수리 보고서 :김금희 장편소설 ,지은이: 김금희,창비,2024,9788936439651,3810.0,,813.7,문학 > 한국문학 > 소설,2812,"61,101","16,200",416.0,79.0,8.6,40.0,50.0,0.8,5.9,29.0,한국소설
32,32,혼모노 :성해나 소설집 ,지은이: 성해나,창비,2025,9788936439743,3810.0,,813.7,문학 > 한국문학 > 소설,2711,"390,401","16,200",368.0,86.0,8.5,40.0,40.0,0.8,8.3,34.0,한국소설
36,36,대도시의 사랑법 :박상영 연작소설 ,지은이: 박상영,창비,2019,9788936437978,3810.0,,813.7,문학 > 한국문학 > 소설,2565,"30,842","16,200",376.0,120.0,8.5,20.0,30.0,0.7,14.7,45.1,한국소설
41,41,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,9788936446819,77810.0,,813.7,문학 > 한국문학 > 소설,2434,"31,700","12,600",60.0,44.0,9.7,30.0,40.0,0.9,4.7,52.9,그림책
56,56,아버지의 해방일지 :정지아 장편소설 ,지은이: 정지아,창비,2022,9788936438838,3810.0,,813.62,문학 > 한국문학 > 소설,2121,"53,447","15,300",268.0,169.0,9.4,40.0,50.0,0.7,6.5,19.2,한국소설
63,63,아몬드 :손원평 장편소설 ,지은이: 손원평,창비,2017,9788936434267,3810.0,,813.7,문학 > 한국문학 > 소설,2030,"32,398","12,600",264.0,214.0,8.6,40.0,40.0,0.8,7.0,35.8,한국소설
66,66,당근 유치원 ,지은이: 안녕달,창비,2020,9788936455484,77810.0,,813.7,문학 > 한국문학 > 소설,2006,"13,449","12,600",48.0,42.0,9.7,30.0,40.0,0.9,3.9,51.0,그림책
69,69,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,9788936447694,74810.0,1.0,813.7,문학 > 한국문학 > 소설,1991,"23,764","10,800",80.0,134.0,9.8,40.0,40.0,0.9,2.1,25.9,동화/명작/고전
77,77,건전지 엄마 :강인숙·전승배 그림책 ,"지은이: 강인숙,전승배",창비,2023,9788936429010,77810.0,,813.7,문학 > 한국문학 > 소설,1939,"7,820","13,500",48.0,65.0,9.8,40.0,40.0,0.9,4.1,35.800000000000004,그림책
81,81,당근 할머니 :안녕달 그림책 ,지은이: 안녕달,창비,2024,9788936429232,77810.0,,813.7,문학 > 한국문학 > 소설,1923,"7,429","12,600",40.0,35.0,10.0,40.0,40.0,0.9,3.1,33.0,그림책
90,90,피프티 피플 :정세랑 장편소설 ,지은이: 정세랑,창비,2016,9788936434243,3810.0,,813.7,문학 > 한국문학 > 소설,1809,"15,692","12,600",396.0,88.0,9.0,20.0,30.0,0.9,6.7,62.7,한국소설
92,92,달까지 가자 :장류진 장편소설 ,지은이: 장류진,창비,2021,9788936434496,3810.0,,813.7,문학 > 한국문학 > 소설,1787,"7,549","16,200",364.0,68.0,7.9,30.0,30.0,0.8,10.6,50.3,한국소설
96,96,할머니의 여름휴가,안녕달,창비,2016,9788936454951,77810.0,,813.8,문학 > 한국문학 > 소설,1774,"15,261","14,220",56.0,32.0,9.7,30.0,40.0,0.9,3.8,50.3,그림책
